name, time, range
Gol/512x512x1000-1-10,6.4097970205,3%
Gol/512x512x1000-2-10,4.2381469585,0%
Gol/512x512x1000-3-10,3.812142208,1%
Gol/512x512x1000-4-10,3.7425972915,1%
Gol/512x512x1000-5-10,3.7633145,1%
Gol/512x512x1000-6-10,3.705569938,1%
Gol/512x512x1000-7-10,3.7141428540000003,3%
Gol/512x512x1000-8-10,3.7062976460000003,1%
Gol/512x512x1000-9-10,3.7075848955,1%
Gol/512x512x1000-10-10,3.728213396,1%
Gol/512x512x1000-11-10,3.768186771,3%
Gol/512x512x1000-12-10,3.9757860005000003,7%
Gol/512x512x1000-13-10,4.1993285215,7%
Gol/512x512x1000-14-10,4.160620854,5%
Gol/512x512x1000-15-10,3.8620342500000002,7%
Gol/512x512x1000-16-10,3.8649433125000003,1%
