name, time, range
Gol/512x512x1000-1-10,6.2068863755,3%
Gol/512x512x1000-2-10,3.5983025205000003,0%
Gol/512x512x1000-3-10,2.854616646,1%
Gol/512x512x1000-4-10,2.6864666665000003,1%
Gol/512x512x1000-5-10,2.5044169165000003,1%
Gol/512x512x1000-6-10,2.6918891250000003,5%
Gol/512x512x1000-7-10,2.5323177290000003,1%
Gol/512x512x1000-8-10,2.507865729,1%
Gol/512x512x1000-9-10,2.4903025420000002,2%
Gol/512x512x1000-10-10,2.485443104,2%
Gol/512x512x1000-11-10,2.488122625,1%
Gol/512x512x1000-12-10,2.51092275,3%
Gol/512x512x1000-13-10,2.6053726875,11%
Gol/512x512x1000-14-10,2.4868569160000003,1%
Gol/512x512x1000-15-10,2.4591406045,9%
Gol/512x512x1000-16-10,2.255689375,1%
geomean,2.7416654591698433
