name, time, range
Gol/512x512x1000-1-10,6.514257938,7%
Gol/512x512x1000-2-10,3.619363583,2%
Gol/512x512x1000-3-10,2.91526875,6%
Gol/512x512x1000-4-10,2.8568173960000003,4%
Gol/512x512x1000-5-10,2.5758534585,5%
Gol/512x512x1000-6-10,2.4306721665,4%
Gol/512x512x1000-7-10,2.5590236875,3%
Gol/512x512x1000-8-10,2.5231571875000003,1%
Gol/512x512x1000-9-10,2.6129794795000003,5%
Gol/512x512x1000-10-10,2.5753054375,7%
Gol/512x512x1000-11-10,2.621983354,6%
Gol/512x512x1000-12-10,2.5764750210000003,5%
Gol/512x512x1000-13-10,2.4838496670000003,1%
Gol/512x512x1000-14-10,2.4586550835,1%
Gol/512x512x1000-15-10,2.495421125,1%
Gol/512x512x1000-16-10,2.441862542,1%
geomean,2.7893438951410827
